,track-name,artist-name,artist-id,track-id
0,Music,Cornelius,df765d93-621c-437f-99fe-fda9e135f89a,52bef5e2-17b6-5742-b846-09a6b750e857
1,Gum,Cornelius,df765d93-621c-437f-99fe-fda9e135f89a,bb9a7981-016d-596e-b17f-ba07a346d2d4
2,Mario Basanov & Vidis ‘Test’,Gilles Peterson,4c4e3121-4d12-4f7a-a77c-5becd849fb3c,7434fb0f-1245-5a58-b343-cca4d0e2c107
3,Child Song,The Cinematic Orchestra,7c158ea8-c0aa-410e-bdc1-20bba9759577,4562ff4f-b619-5557-8600-87f6d0d9f348
4,To Build A Home,The Cinematic Orchestra,7c158ea8-c0aa-410e-bdc1-20bba9759577,dcf825de-85a9-5b53-9d2b-a9d574b57470
5,Flite,The Cinematic Orchestra,7c158ea8-c0aa-410e-bdc1-20bba9759577,170056e7-c3d6-56a1-9b56-b1cefebf7cc3
6,All That You Give,The Cinematic Orchestra,7c158ea8-c0aa-410e-bdc1-20bba9759577,cd747bce-2863-58a1-9a66-f4e06d19a408
7,Reckoner,Radiohead,a74b1b7f-71a5-4011-9441-d0b5e4122711,1f5924d3-c1b3-5d5e-9ca4-4e062e9019be
8,Feelin' Your Bright Light (ただ、光る） Featuring Ten,A Hundred Birds,f5341587-6c20-4e0f-bdfd-62b2122825f2,b0769552-ad14-555e-8d00-5da338ee28e4
9,Beautiful Burnout,Underworld,ba2f4f3b-0293-4bc8-bb94-2f73b5207343,b51b5c83-de6f-5750-8dca-b35b647f7fc9
10,Clap & Whistle & Walking,Cornelius,df765d93-621c-437f-99fe-fda9e135f89a,e50f78a3-af0e-5328-9b5b-e340e0d513d5
11,"Boy, Boy, Boy",Underworld,ba2f4f3b-0293-4bc8-bb94-2f73b5207343,2266503a-6ca4-5776-b4f7-b11e23e3d1cc
12,Familiar Ground,The Cinematic Orchestra,7c158ea8-c0aa-410e-bdc1-20bba9759577,ba0f1e49-760c-5dbc-b7bb-11cf8d583b1c
13,Glam Bucket,Underworld,ba2f4f3b-0293-4bc8-bb94-2f73b5207343,4cd3490e-cd44-5365-91e5-6da5b7b60887
14,Everything Is Alright,Rasmus Faber,7d99d976-c247-4756-a250-f3de5c190866,e01f7914-76d7-54a0-b34a-fb6f9d128726
15,Wahoo Feat. Paul Randolphdon'T Take It Personal,Gilles Peterson,4c4e3121-4d12-4f7a-a77c-5becd849fb3c,ece0dad3-3849-581e-9c3d-c4787466e01c
16,Parc,Underworld,ba2f4f3b-0293-4bc8-bb94-2f73b5207343,ec1f02d3-0c25-508b-98b2-549abcf21ead
17,Larry Heard Presents Mr. White ‘You Rock Me’ (Long Version),Gilles Peterson,4c4e3121-4d12-4f7a-a77c-5becd849fb3c,aa9afc8c-af71-52dc-9b31-c7033e6113da
18,銀河,原田郁子,dd82ea00-c8e8-4bb0-8dfe-dc0f710a7c8f,18a8af8c-7016-5c67-bc97-55b6f69743a2
19,Breezin',Cornelius,df765d93-621c-437f-99fe-fda9e135f89a,602fd467-d2ff-5cd1-b6ba-8819aa550b29
20,Wataridori,Cornelius,df765d93-621c-437f-99fe-fda9e135f89a,bf6ea919-0446-587a-b55e-0bc7e6a67001
21,Untitled,A Hundred Birds,f5341587-6c20-4e0f-bdfd-62b2122825f2,465ce74b-d29f-5373-bd71-c353787591be
22,N’Dambi ‘Can’T Change Me’ (Ron Trent Remix),Gilles Peterson,4c4e3121-4d12-4f7a-a77c-5becd849fb3c,b0e21fcb-4c82-53f5-9bd7-33355e6a2fda
23,Toner,Cornelius,df765d93-621c-437f-99fe-fda9e135f89a,47667283-9f4a-5b62-b225-c58eb66737be
24,Night Ride To Home(Street Noise Mix),Calm,08379a1c-453b-460a-ab49-a213bb3b4ca6,b642b0c2-b8f6-5e23-87a9-c6b1b4853e7a
