,artist-name,artist-id
0,Cornelius,df765d93-621c-437f-99fe-fda9e135f89a
1,Gilles Peterson,4c4e3121-4d12-4f7a-a77c-5becd849fb3c
2,The Cinematic Orchestra,7c158ea8-c0aa-410e-bdc1-20bba9759577
3,Radiohead,a74b1b7f-71a5-4011-9441-d0b5e4122711
4,A Hundred Birds,f5341587-6c20-4e0f-bdfd-62b2122825f2
5,Underworld,ba2f4f3b-0293-4bc8-bb94-2f73b5207343
6,Rasmus Faber,7d99d976-c247-4756-a250-f3de5c190866
7,原田郁子,dd82ea00-c8e8-4bb0-8dfe-dc0f710a7c8f
8,Calm,08379a1c-453b-460a-ab49-a213bb3b4ca6
9,Digital Jockey,7bcd1d7e-e28b-4370-9305-ba65ae96ee42
10,Plaid,7e54d133-2525-4bc0-ae94-65584145a386
11,Towa Tei,440cb8ef-cee3-4711-8408-b1bd6e93f390
12,Minilogue,56a70482-5528-4bef-8da2-a33cf098ce9b
13,Steve Reich,a3031680-c359-458f-a641-70ccbaec6a74
14,Nick Holmes,c77bf917-f24d-4e91-a140-12d1707f4428
15,Jamie Lidell,0daf1c34-212a-442f-905d-c44f2adcc020
16,Damien Rice,2119beb8-6ac5-4f21-82a4-b831c90c0024
17,Kettcar,315fa94f-3bb5-43db-a28e-406a83e9805c
18,Death Cab For Cutie,0039c7ae-e1a7-4a7d-9b49-0cbc716821a6
19,Ben Harper,1582a5b8-538e-45e7-9ae4-4099439a0e79
20,The Libertines,82b304c0-7da4-45d3-896a-0767c7ae1141
21,Brand New,9311e2bc-bb3f-44cf-90d8-b1fe6912b60b
22,Babyshambles,8e1e03fe-ebbc-467a-b541-857144db10fb
23,Colin Hay,864d7069-57dc-45f6-b408-875b35106dd3
24,The Kooks,f82f3a3e-29c2-42ca-b589-bc5dc210fa9e
25,Nada Surf,b9a2a9a6-7a40-48a6-bcb1-8eff5b89ad5b
26,Bell X1,3660a894-2cf6-4f6b-b995-c967da3c78c9
27,Judith Holofernes,b9b1efa6-8e01-4726-a9d5-0f96f5fd23d9
28,Imogen Heap,328d146c-79f1-4eb6-9e40-8ee5710c14e5
29,Sophie Milman,bd3deba0-d5f7-4c67-b840-36ce967b035b
30,Regina Spektor,fbb375f9-48bb-4635-824e-4120273b3ba7
31,Maxïmo Park,92e634a7-6023-4be8-be15-ebba822f5b34
32,Iron & Wine,c3f28da8-662d-4f09-bdc7-3084bf685930
33,Ben Harper,b07016ee-5de9-4419-8205-0490d95dc638
34,Hansen Band,448d90cf-3e1f-465e-976d-6b2f3d8b686d
35,José González,cd8c5019-5d75-4d5c-bc28-e1e26a7dd5c8
36,Oasis,39ab1aed-75e0-4140-bd47-540276886b60
37,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
38,M.I.A.,7cf0ea9d-86b9-4dad-ba9e-2355a64899ea
39,Daft Punk,056e4f3e-d505-4dad-8ec1-d04f521cbb56
40,Chromeo,647221d0-f6b1-4e03-924c-c59b8059536f
41,The Doors,9efff43b-3b29-4082-824e-bc82f646f93d
42,Unwritten Law,846cdb90-81a6-4c05-a7dc-9dd075f0db9e
43,Digitalism,7b52603c-a84c-4a76-8dc8-899bb4dd9fa7
44,Air,cb67438a-7f50-4f2b-a6f1-2bb2729fd538
45,Cunninlynguists,69c4cc43-8163-41c5-ac81-30946d27bb69
46,Sublime,95f5b748-d370-47fe-85bd-0af2dc450bc0
47,Shiny Toy Guns,ad61e25e-5516-41e1-b60d-744e8220986e
